npop100_gens50_enemy3_mut0.60_elitism0.10_20240928_160609
gen best mean std
0 75.210040 17.143749 27.184024
1 75.210040 25.469991 32.106642
2 75.210040 26.454046 33.697739
3 75.210040 29.645658 34.928487
4 75.210040 33.290397 37.733524
5 75.210040 35.256459 34.335261
6 75.210040 35.526593 35.147873
7 75.210040 39.348009 34.891567
8 75.210040 44.520180 32.025952
9 75.210040 38.063438 37.406037
10 75.210040 45.297524 35.280750
11 75.210040 41.044124 33.695076
12 75.210040 40.657489 35.864471
13 75.210040 38.446763 35.967491
14 75.210040 44.039880 32.786265
15 75.210040 38.083693 35.630602
16 75.210040 37.994121 35.938046
17 75.210040 42.774748 36.156803
18 75.210040 43.152557 35.909903
19 75.210040 46.172466 33.247811
20 75.210040 39.795458 35.660622
21 75.210040 43.781760 36.280347
22 75.210040 42.334596 36.543860
23 75.210040 37.353947 37.275654
24 75.210040 37.541856 37.215563
25 75.210040 45.796721 35.894616
26 75.210040 37.772426 38.064981
27 75.210040 47.685946 32.619670
28 75.210040 36.267043 39.326865
29 75.210040 36.802562 38.933456
30 75.210040 35.032090 38.886383
31 75.210040 46.102876 35.865851
32 75.210040 38.295241 38.835943
33 75.210040 42.766559 35.688786
34 75.210040 44.053004 35.076102
35 75.210040 42.721209 38.077938
36 75.210040 42.261660 36.442002
37 75.210040 35.662942 38.455222
38 75.210040 42.054270 36.095146
39 75.210040 36.275599 37.967709
40 75.210040 40.274808 34.673805
41 75.210040 44.530783 36.410759
42 75.210040 41.076746 35.293065
43 75.210040 37.359358 37.047700
44 75.210040 54.657050 31.202775
45 75.210040 42.444308 34.548718
46 75.210040 37.054378 37.430374
47 75.210040 36.947837 37.888735
48 84.367552 39.520925 38.615161
49 84.367552 46.694094 36.223481
