npop100_gens50_enemy5_mut0.60_elitism0.10_20240928_155736
gen best mean std
0 92.794000 23.903856 38.081790
1 92.794000 40.411862 43.600192
2 92.794000 37.808871 46.421682
3 93.696796 46.176799 46.840821
4 93.696796 51.088398 46.506304
5 93.696796 51.865860 44.205879
6 93.696796 69.504345 37.464988
7 93.696796 57.254489 45.350743
8 93.696796 53.853058 44.859536
9 93.696796 50.829807 44.899580
10 93.696796 58.659603 43.450351
11 93.696796 65.193836 41.401343
12 93.696796 61.759217 43.449524
13 93.696796 56.247784 43.473113
14 93.696796 57.825174 44.973316
15 94.060270 65.581665 40.564832
16 94.060270 60.629795 40.980796
17 94.060270 59.588096 43.808191
18 94.060270 70.807077 38.852851
19 94.060270 55.458125 44.491433
20 94.060270 55.884089 44.090635
21 94.060270 53.855334 45.706937
22 94.060270 64.595085 41.237940
23 94.060270 58.137584 44.947384
24 94.060270 65.510471 39.869383
25 94.060270 55.245615 45.452205
26 94.060270 57.336107 44.149813
27 94.060270 56.512880 43.443689
28 94.060270 56.958796 46.057842
29 94.060270 52.068991 44.393121
30 94.060270 66.672883 41.649792
31 94.060270 73.743037 34.051263
32 94.060270 64.695167 40.838989
33 94.060270 52.394864 44.109420
34 94.060270 54.612845 45.200436
35 94.060270 67.344139 41.251927
36 94.060270 65.290638 40.333933
37 94.060270 63.760805 38.860012
38 94.060270 67.632307 40.853068
39 94.060270 55.764572 44.307254
40 94.060270 63.936112 41.744132
41 94.060270 62.234604 40.014702
42 94.060270 80.793919 30.174764
43 94.060270 72.242625 37.449163
44 94.060270 76.588767 34.457446
45 94.060270 77.648690 32.822741
46 94.060270 73.216448 36.549795
47 94.060270 75.893418 34.803574
48 94.060270 80.667341 30.324155
49 94.060270 89.005940 15.393069
