npop100_gens50_enemy5_mut0.60_elitism0.10_20240928_160150
gen best mean std
0 93.696796 31.619432 42.817379
1 93.696796 32.124084 43.061332
2 93.696796 39.858023 45.743867
3 93.696796 48.046951 45.332695
4 93.696796 68.144427 39.773886
5 93.696796 55.022675 44.456937
6 94.303266 56.106129 45.108353
7 94.303266 61.458438 43.742788
8 94.303266 64.840386 43.188803
9 94.303266 66.054420 41.775096
10 94.303266 51.895083 43.389178
11 94.303266 60.964403 44.771088
12 94.303266 54.095001 42.044231
13 94.303266 58.101637 44.418566
14 94.303266 58.264309 44.447643
15 94.303266 53.582845 45.280776
16 94.303266 55.308276 44.752161
17 94.303266 51.161791 45.050692
18 94.303266 58.082493 44.362488
19 94.303266 58.173232 44.566822
20 94.303266 51.516838 46.505300
21 94.303266 57.174469 45.605688
22 94.303266 54.095190 45.436866
23 94.303266 66.604092 41.229794
24 94.303266 55.169336 44.317139
25 94.303266 60.552856 42.451942
26 94.303266 51.278213 44.172886
27 94.303266 61.592954 43.749903
28 94.303266 63.684257 42.124546
29 94.303266 58.716183 43.788461
30 94.303266 49.581270 46.441251
31 94.303266 45.081456 47.134475
32 94.303266 50.603623 45.770197
33 94.303266 63.450043 42.045381
34 94.303266 70.669466 39.621006
35 94.303266 54.610053 45.553167
36 94.303266 62.832237 43.050596
37 94.303266 53.034921 46.965145
38 94.303266 59.328615 43.867917
39 94.303266 63.721673 41.836017
40 94.303266 58.330758 43.013813
41 94.303266 65.098783 40.998501
42 94.303266 56.716539 46.178849
43 94.303266 57.261548 44.650040
44 94.303266 58.903409 41.481155
45 94.303266 57.638572 45.855396
46 94.303266 49.952245 45.506069
47 94.303266 66.694322 40.951382
48 94.303266 61.678513 44.233288
49 94.303266 68.082261 39.291453
