npop100_gens50_enemy8_mut0.60_elitism0.10_20240929_213917
gen best mean std
0 89.426611 21.195362 37.654362
1 89.426611 21.503099 39.742670
2 89.426611 32.361571 42.307673
3 89.426611 52.192800 43.154533
4 89.426611 48.893513 41.576294
5 89.426611 38.018255 45.484503
6 89.426611 43.662588 46.028648
7 91.513561 58.834262 41.327179
8 91.513561 58.811088 41.113059
9 91.513561 56.564309 43.118255
10 91.513561 45.588678 44.932469
11 91.513561 50.738204 43.363828
12 91.513561 58.278972 42.316648
13 91.513561 51.445966 42.751244
14 91.513561 50.427223 43.869751
15 91.513561 48.671581 45.426374
16 91.513561 44.370304 45.968271
17 91.513561 62.229235 40.068489
18 91.513561 47.730074 44.386252
19 91.513561 50.550194 43.686056
20 91.513561 63.658308 39.667892
21 91.513561 69.644678 32.955123
22 91.513561 55.350970 43.610797
23 91.513561 42.029014 44.259852
24 91.513561 47.035853 43.708883
25 91.513561 62.422513 34.090572
26 91.513561 63.267589 35.581195
27 91.513561 49.852875 43.657762
28 91.513561 49.459146 44.495006
29 91.513561 46.104587 44.543464
30 91.513561 53.269487 44.427330
31 91.513561 49.979844 42.316836
32 91.513561 42.553067 45.118690
33 91.513561 55.331040 42.092626
34 91.513561 72.375179 32.763839
35 91.513561 62.473998 38.442194
36 91.513561 52.934777 41.584112
37 91.513561 48.932707 42.735308
38 91.513561 53.910252 44.222716
39 91.952751 61.488114 41.160095
40 91.952751 58.894480 39.756480
41 91.952751 54.270268 44.654029
42 91.952751 54.957348 41.773388
43 91.952751 45.787700 45.783024
44 91.952751 47.883648 43.944108
45 91.952751 60.313437 40.394904
46 91.952751 55.086105 43.422960
47 91.952751 45.475113 46.107941
48 91.952751 47.573423 44.055039
49 91.952751 49.668258 45.490494
