npop100_gens50_enemy5_mut0.60_elitism0.10_20240929_213618
gen best mean std
0 93.696796 23.983530 41.000575
1 93.696796 34.604878 46.219869
2 93.696796 40.331546 44.956456
3 93.696796 39.538192 46.733352
4 93.696796 48.742525 45.688464
5 93.696796 46.993957 45.739243
6 93.696796 47.065480 47.668689
7 93.696796 58.514453 43.699061
8 93.696796 56.335730 45.547448
9 93.696796 59.715430 41.311730
10 93.696796 64.411630 41.617284
11 93.696796 59.633438 42.628298
12 93.696796 53.136853 45.983947
13 93.696796 56.626157 45.390025
14 93.696796 56.122300 46.462932
15 93.696796 48.772630 44.468430
16 93.696796 56.981331 45.715008
17 93.696796 57.981131 44.731479
18 93.752892 62.162014 43.116553
19 93.752892 56.420894 46.449031
20 93.752892 52.549528 46.833722
21 93.752892 44.271834 46.897633
22 93.752892 59.847008 46.220319
23 93.752892 49.372993 46.014561
24 93.752892 46.901555 45.497758
25 93.752892 43.978737 47.264797
26 93.752892 56.724728 45.592377
27 93.752892 57.933294 44.884578
28 93.752892 58.641466 44.405992
29 93.752892 56.874327 45.660078
30 93.752892 69.838176 40.407636
31 93.752892 78.222336 32.234636
32 93.752892 62.657597 43.022096
33 93.752892 65.170826 41.361737
34 93.752892 54.120821 45.428072
35 93.752892 57.112608 44.841609
36 93.752892 47.554501 47.582544
37 93.752892 56.495846 43.667591
38 93.752892 48.721860 46.906127
39 93.752892 49.695260 46.447792
40 93.752892 48.984669 46.738199
41 93.752892 75.101157 36.376212
42 93.752892 60.941665 41.756030
43 93.752892 59.274513 43.459042
44 93.752892 62.479665 43.612990
45 93.752892 80.487629 29.095869
46 93.752892 74.536411 36.996058
47 93.752892 74.577141 37.563558
48 93.752892 63.136257 41.555871
49 93.752892 67.724186 39.632247
