npop100_gens50_enemy5_mut0.60_elitism0.10_20240928_155906
gen best mean std
0 93.696796 18.243503 33.106100
1 93.696796 27.515740 41.626295
2 93.696796 41.599419 43.615692
3 93.696796 54.734561 44.026819
4 93.696796 46.553992 44.552541
5 93.696796 44.810864 46.746885
6 93.696796 56.167574 44.530372
7 93.696796 58.525027 42.154351
8 93.696796 51.688218 42.997635
9 93.696796 56.729421 44.414379
10 93.696796 59.732481 41.593260
11 93.696796 68.280057 40.562886
12 93.696796 51.907055 42.804469
13 93.696796 59.950751 41.218067
14 93.807511 65.930414 41.418469
15 93.807511 48.681255 46.140752
16 93.807511 48.784702 46.208714
17 93.807511 53.838847 44.303791
18 93.807511 57.973786 44.045667
19 93.807511 49.732600 45.637597
20 93.807511 65.193071 42.752112
21 93.807511 51.817633 43.349793
22 93.807511 59.277073 43.293159
23 93.807511 60.972151 42.105928
24 93.807511 55.538970 43.206098
25 93.807511 52.570956 46.000240
26 93.807511 55.962191 45.366758
27 93.807511 52.264965 47.152547
28 93.807511 51.051621 45.108279
29 93.807511 59.964714 43.730927
30 93.807511 49.556768 46.506230
31 93.807511 63.994098 41.539853
32 93.807511 62.466229 42.980489
33 93.807511 62.139447 43.375483
34 93.807511 54.383652 45.298309
35 93.807511 46.998114 44.933958
36 93.807511 60.411461 42.459028
37 93.807511 48.309991 47.015521
38 93.807511 52.404410 46.934256
39 93.807511 52.795707 46.672381
40 93.807511 54.055965 44.962894
41 93.807511 49.557301 46.408260
42 93.807511 66.109594 41.571324
43 93.807511 48.066703 47.354096
44 93.807511 56.630897 44.526013
45 93.807511 57.892101 45.351341
46 93.807511 71.568183 37.965482
47 93.807511 79.140326 31.484798
48 93.807511 69.998336 39.397858
49 93.807511 70.739078 38.122357
