Model,Fitness,Individual Gain
"multi_island_optimization/models/E123456781020/MIModel_fitness32.701655_npop120_gens500_enemy[1, 2, 3, 4, 5, 6, 7, 8]_mut0.20_elitism0.20_20241020_154814.txt",-6.363318908550919,-109.33963869029161
"multi_island_optimization/models/E123456781020/MIModel_fitness32.163064_npop120_gens500_enemy[1, 2, 3, 4, 5, 6, 7, 8]_mut0.20_elitism0.20_20241020_125430.txt",-7.3409303245180695,-114.40032397181523
"multi_island_optimization/models/E123456781020/MIModel_fitness32.341469_npop120_gens500_enemy[1, 2, 3, 4, 5, 6, 7, 8]_mut0.20_elitism0.20_20241020_145630.txt",-7.65226757419909,-120.57189138830739
"multi_island_optimization/models/E123456781020/MIModel_fitness35.047664_npop120_gens500_enemy[1, 2, 3, 4, 5, 6, 7, 8]_mut0.20_elitism0.20_20241020_123145.txt",-7.715977594141406,-118.5969898150299
"multi_island_optimization/models/E123456781020/MIModel_fitness36.887569_npop120_gens500_enemy[1, 2, 3, 4, 5, 6, 7, 8]_mut0.20_elitism0.20_20241020_161236.txt",-6.944695600388807,-113.04257914018694
"multi_island_optimization/models/E123456781020/MIModel_fitness29.163568_npop120_gens500_enemy[1, 2, 3, 4, 5, 6, 7, 8]_mut0.20_elitism0.20_20241020_140711.txt",-7.6314971999470345,-118.5969898150299
"multi_island_optimization/models/E123456781020/MIModel_fitness33.316388_npop120_gens500_enemy[1, 2, 3, 4, 5, 6, 7, 8]_mut0.20_elitism0.20_20241020_134133.txt",-7.068959607275464,-114.0300299268257
"multi_island_optimization/models/E123456781020/MIModel_fitness45.462649_npop120_gens500_enemy[1, 2, 3, 4, 5, 6, 7, 8]_mut0.20_elitism0.20_20241020_143207.txt",-7.612073661802285,-118.5969898150299
"multi_island_optimization/models/E123456781020/MIModel_fitness31.538537_npop120_gens500_enemy[1, 2, 3, 4, 5, 6, 7, 8]_mut0.20_elitism0.20_20241020_131742.txt",-7.684150838544644,-120.57189138830739
"multi_island_optimization/models/E123456781020/MIModel_fitness27.194463_npop120_gens500_enemy[1, 2, 3, 4, 5, 6, 7, 8]_mut0.20_elitism0.20_20241020_152340.txt",-7.612073661802285,-118.5969898150299
