gen best mean std
0 90.836420 11.238312 28.250846
1 90.836420 16.711610 30.313308
2 90.836420 26.514825 33.163956
3 90.836420 35.554442 32.550437
4 90.836420 45.075621 32.704910
5 90.836420 53.034487 31.771573
6 90.836420 61.541626 30.382869
7 90.836420 68.631290 27.312699
8 90.836420 74.562135 23.615351
9 90.836420 76.993607 21.673483
10 90.836420 80.223185 19.177869
11 90.836420 82.871868 15.266542
12 90.836420 83.594955 13.988264
13 90.836420 86.406368 6.014330
14 90.836420 87.217370 2.467210
15 90.836420 87.625175 1.034470
16 90.836420 87.748589 1.089385
17 90.836420 87.774602 1.096836
18 90.836420 87.776598 1.095742
19 90.836420 87.824035 1.115949
20 90.979688 87.883731 1.161400
21 90.979688 87.892803 1.157128
22 90.979688 87.917296 1.159223
23 90.979688 87.917296 1.159223
24 90.979688 87.938262 1.163005
25 90.979688 87.941101 1.161206
26 90.979688 87.941220 1.161126
27 90.979688 87.941691 1.160805
28 90.979688 87.978305 1.162347
29 90.979688 88.077176 1.192055
30 90.979688 88.158346 1.201401
31 90.979688 88.158946 1.200907
32 90.979688 88.208734 1.209818
33 90.979688 88.288070 1.224346
34 90.979688 88.288849 1.223652
35 90.979688 88.309971 1.223505
36 90.979688 88.353633 1.220848
37 90.979688 88.403958 1.208102
38 90.979688 88.424817 1.204389
39 90.979688 88.424817 1.204389
40 90.979688 88.486181 1.191518
41 90.979688 88.507696 1.187506
42 90.979688 88.545715 1.174614
43 90.979688 88.573825 1.168994
44 90.979688 88.638016 1.150926
45 90.979688 88.668979 1.138788
46 90.979688 88.710703 1.121967
47 90.979688 88.759927 1.110358
48 90.979688 88.779261 1.099672
49 90.979688 88.823443 1.078136
50 90.979688 88.826654 1.073672
51 90.979688 88.904368 1.061400
52 90.979688 88.981516 1.044428
53 90.979688 89.021362 1.016120
54 90.979688 89.063528 1.010649
55 90.979688 89.084658 0.994213
56 90.979688 89.160711 0.952257
57 90.979688 89.175741 0.933465
58 90.979688 89.227759 0.897242
59 90.979688 89.251925 0.875592
60 90.979688 89.286634 0.835501
61 90.979688 89.335435 0.795535
62 90.979688 89.396956 0.722714
63 90.979688 89.420041 0.689892
64 90.979688 89.420958 0.687069
65 90.979688 89.438836 0.655372
66 90.979688 89.438836 0.655372
67 90.979688 89.459751 0.617779
68 90.979688 89.460212 0.617441
69 92.476695 89.522589 0.642768
70 92.476695 89.522589 0.642768
71 92.476695 89.567864 0.612659
72 92.476695 89.577505 0.606993
73 92.476695 89.584158 0.603871
74 92.476695 89.584158 0.603871
75 92.476695 89.599391 0.605868
76 92.476695 89.627680 0.574738
77 92.476695 89.650433 0.552841
78 92.476695 89.653466 0.550345
79 92.476695 89.653611 0.550263
80 92.476695 89.667038 0.547820
81 92.476695 89.673212 0.544982
82 92.476695 89.673527 0.544803
83 92.476695 89.703573 0.532204
84 92.476695 89.703573 0.532204
85 92.476695 89.703573 0.532204
86 92.476695 89.705640 0.531114
87 92.476695 89.715822 0.521641
88 92.476695 89.715822 0.521641
89 92.476695 89.717937 0.520569
90 92.476695 89.723533 0.519396
91 92.476695 89.723533 0.519396
92 92.476695 89.736933 0.508880
93 92.476695 89.758368 0.524798
94 92.476695 89.760210 0.523025
95 92.476695 89.762019 0.521291
96 92.476695 89.768307 0.520085
97 92.476695 89.772103 0.517128
98 92.476695 89.802936 0.552729
99 92.476695 89.822865 0.555110
100 92.476695 89.822865 0.555110
101 92.476695 89.822865 0.555110
102 92.476695 89.822865 0.555110
103 92.476695 89.829572 0.554046
104 92.476695 89.829572 0.554046
105 92.476695 89.839204 0.553879
106 92.476695 89.839243 0.553845
107 92.476695 89.847277 0.551617
108 92.476695 89.853151 0.549347
109 92.476695 89.878219 0.584309
110 92.476695 89.914898 0.624345
111 92.476695 89.916140 0.623448
112 92.476695 89.922167 0.620863
113 92.476695 89.932242 0.622462
114 92.476695 89.932518 0.622210
115 92.476695 89.932715 0.622029
116 92.476695 89.955584 0.647338
117 92.476695 89.955584 0.647338
118 92.476695 89.955584 0.647338
119 92.476695 89.955900 0.647051
120 92.732828 90.005014 0.704139
121 92.732828 90.005054 0.704104
122 92.732828 90.017199 0.703666
123 92.732828 90.017748 0.703342
124 92.732828 90.022878 0.701429
125 92.732828 90.040614 0.703872
126 92.732828 90.041123 0.703574
127 92.732828 90.041123 0.703574
128 92.732828 90.041123 0.703574
129 92.732828 90.056828 0.706221
130 92.732828 90.056828 0.706221
131 92.732828 90.061267 0.704916
132 92.732828 90.061267 0.704916
133 92.732828 90.061267 0.704916
134 92.732828 90.061549 0.704645
135 92.732828 90.061549 0.704645
136 92.732828 90.061549 0.704645
137 92.732828 90.067872 0.703387
138 92.732828 90.074577 0.698631
139 92.732828 90.074577 0.698631
140 92.732828 90.076135 0.697304
141 92.732828 90.076135 0.697304
142 92.732828 90.076135 0.697304
143 92.732828 90.091626 0.698663
