Model,Fitness,Individual Gain
"single_island_optimization/models/E12341020/SIModel_fitness47.746975_npop120_gens500_enemy[1, 2, 3, 4]_mut0.20_elitism0.20_20241020_154934.txt",47.746975065384916,-5.927517841888454
"single_island_optimization/models/E12341020/SIModel_fitness68.379878_npop120_gens500_enemy[1, 2, 3, 4]_mut0.20_elitism0.20_20241020_152743.txt",68.37987844416243,-8.382710704522708
"single_island_optimization/models/E12341020/SIModel_fitness74.233802_npop120_gens500_enemy[1, 2, 3, 4]_mut0.20_elitism0.20_20241020_153848.txt",74.233801823521,-11.056354539054343
"single_island_optimization/models/E12341020/SIModel_fitness56.144352_npop120_gens500_enemy[1, 2, 3, 4]_mut0.20_elitism0.20_20241020_141836.txt",56.14435169059102,-14.2084380241115
"single_island_optimization/models/E12341020/SIModel_fitness46.579491_npop120_gens500_enemy[1, 2, 3, 4]_mut0.20_elitism0.20_20241020_143010.txt",46.57949078025571,-6.335146481739363
"single_island_optimization/models/E12341020/SIModel_fitness55.026655_npop120_gens500_enemy[1, 2, 3, 4]_mut0.20_elitism0.20_20241020_150509.txt",55.026654507020815,-7.75255128608411
"single_island_optimization/models/E12341020/SIModel_fitness54.899497_npop120_gens500_enemy[1, 2, 3, 4]_mut0.20_elitism0.20_20241020_140734.txt",54.899497079372395,-23.169872981077805
"single_island_optimization/models/E12341020/SIModel_fitness64.833119_npop120_gens500_enemy[1, 2, 3, 4]_mut0.20_elitism0.20_20241020_145303.txt",64.83311896135163,-11.85836896320632
"single_island_optimization/models/E12341020/SIModel_fitness59.306247_npop120_gens500_enemy[1, 2, 3, 4]_mut0.20_elitism0.20_20241020_144134.txt",59.306247354147786,-12.928932188134524
"single_island_optimization/models/E12341020/SIModel_fitness44.946715_npop120_gens500_enemy[1, 2, 3, 4]_mut0.20_elitism0.20_20241020_151639.txt",44.94671483679628,-13.524098350421557
