gen best mean std
0 90.903229 9.412000 31.880112
1 90.903229 24.622468 40.286228
2 90.903229 35.128622 43.769803
3 90.903229 42.597719 43.618409
4 90.903229 45.314243 44.723549
5 90.903229 48.365148 43.401111
6 90.903229 40.977223 45.498777
7 90.903229 44.330260 42.504974
8 90.903229 55.533245 41.484199
9 90.903229 50.647130 43.382647
10 90.903229 59.095835 40.655247
11 90.903229 48.358876 43.581542
12 90.903229 58.716156 36.581959
13 91.093561 62.300012 39.457364
14 91.093561 64.090224 37.833987
15 91.093561 56.936956 41.357922
16 91.093561 81.919746 19.621035
17 91.093561 71.242566 31.547898
18 91.093561 52.077920 42.874390
19 91.093561 49.619577 45.322554
20 91.093561 59.274424 41.794131
21 91.093561 55.537540 41.476936
22 91.093561 52.955722 42.011013
23 91.093561 53.666968 41.219725
24 91.093561 56.067755 42.028968
25 91.093561 56.033059 39.727317
26 91.093561 53.010502 41.987426
27 91.093561 48.537678 43.001552
28 91.093561 50.377695 44.665815
29 91.093561 47.374707 45.008084
30 91.093561 49.030715 42.527478
31 91.093561 56.241432 41.889395
32 91.093561 58.181164 43.206973
33 91.093561 46.559668 45.180468
34 91.093561 45.975498 44.118920
35 91.093561 51.504711 44.010070
36 91.093561 44.925481 46.624239
37 91.093561 48.945298 43.924437
38 91.093561 51.415760 41.381617
39 91.093561 60.824541 40.404581
40 91.093561 48.232468 44.342298
41 91.093561 50.286404 42.555355
42 91.093561 51.658826 44.127110
43 91.093561 63.304043 36.674781
44 91.093561 54.615596 41.389236
45 91.093561 59.535346 41.386021
46 91.093561 48.007449 44.574861
47 91.093561 53.480787 43.219102
48 91.093561 51.259108 39.062936
49 91.093561 51.165301 42.490003
50 91.093561 57.890760 40.734248
51 91.093561 59.029776 38.533418
52 91.093561 61.243770 37.366584
53 91.093561 59.381451 37.956060
54 91.093561 56.029519 40.805756
55 91.093561 58.761070 40.966892
56 91.093561 52.535404 41.805869
57 91.093561 56.653808 42.200719
58 91.093561 54.753686 42.054095
59 91.093561 58.479673 43.681751
60 91.093561 47.809012 45.126816
61 91.093561 58.853198 41.498282
62 91.093561 48.984692 42.086615
63 91.093561 62.149112 40.181750
64 91.093561 52.770362 44.467745
65 91.093561 49.528040 46.812762
66 91.093561 48.786683 43.782220
67 91.093561 54.974103 42.212742
68 91.093561 48.701026 44.342431
69 91.093561 56.071440 41.224225
70 91.093561 54.575440 42.448759
71 91.093561 57.876570 39.865373
72 91.093561 47.530178 45.273482
73 91.093561 57.206653 42.341853
74 91.093561 52.191952 43.848845
75 91.093561 58.003797 41.182632
76 91.093561 61.564461 38.362532
77 91.093561 46.084170 43.215553
78 91.093561 60.492919 39.695131
79 91.093561 64.920200 38.277870
80 91.093561 55.207734 43.021984
81 91.093561 61.178125 40.484165
82 91.093561 64.180628 39.183799
83 91.093561 47.975596 44.884816
84 91.093561 59.971483 42.414529
85 91.093561 53.234968 40.574940
86 91.093561 60.762725 40.598887
