npop100_gens500_enemy8_mut0.30_elitism0.10_20240928_031251
gen best mean std
0 89.012890 19.027725 37.190814
1 89.012890 26.748727 40.866916
2 89.012890 34.869704 41.275392
3 89.012890 49.342682 43.922872
4 89.012890 43.530515 45.056977
5 89.012890 51.785829 43.100833
6 89.012890 56.658506 39.702661
7 89.012890 57.242461 42.825379
8 89.402832 56.896961 43.425330
9 89.402832 54.990486 42.151294
10 89.402832 52.233723 38.559439
11 89.402832 55.126658 41.846328
12 89.402832 60.693971 41.277680
13 89.402832 60.714433 38.703017
14 89.402832 58.590708 41.342992
15 89.402832 68.342792 34.545304
16 89.402832 49.888121 44.283278
17 89.402832 59.618763 40.176878
18 90.045069 58.351216 39.920272
19 90.045069 54.468361 42.993978
20 90.045069 55.171704 41.612413
21 90.045069 41.724465 44.840240
22 90.045069 52.484508 45.610599
23 90.045069 47.489160 43.446720
24 90.045069 62.680542 40.641694
25 90.045069 47.938762 43.613351
26 90.045069 44.049938 46.695826
